2023-06-29 15:48:46 | DEBUG   | module.core.Optimizer        | solve_milp           |  137 |  - actually solving MILP
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.096s)
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.008s)
2023-06-29 15:48:46 | WARNING | __main__                     | <module>             |  267 | Optimal
2023-06-29 15:48:46 | INFO    | __main__                     | <module>             |  313 |  * Day 9 of 90 ... OK! (-0.169s) * 
2023-06-29 15:48:46 | INFO    | __main__                     | <module>             |  140 |  * Day 10 of 90 ... * 
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.015s)
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.015s)
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.030s)
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-06-29 15:48:46 | DEBUG   | module.core.Optimizer        | solve_milp           |  134 |  - defining MILP
2023-06-29 15:48:46 | DEBUG   | module.core.Optimizer        | solve_milp           |  137 |  - actually solving MILP
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.111s)
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.008s)
2023-06-29 15:48:46 | WARNING | __main__                     | <module>             |  267 | Optimal
2023-06-29 15:48:46 | INFO    | __main__                     | <module>             |  313 |  * Day 10 of 90 ... OK! (-0.174s) * 
2023-06-29 15:48:46 | INFO    | __main__                     | <module>             |  140 |  * Day 11 of 90 ... * 
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.015s)
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  143 |  - parsing DC-side parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  162 |  - parsing efficiency parameters
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  168 | - parsing degradation curve
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  177 |  - parsing test data
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  179 | Configuring BESS asset ... OK! (0.017s)
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   76 | Configuring data for MILP ... OK! (0.032s)
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   79 | Solving MILP ...
2023-06-29 15:48:46 | DEBUG   | module.core.Optimizer        | solve_milp           |  134 |  - defining MILP
2023-06-29 15:48:46 | DEBUG   | module.core.Optimizer        | solve_milp           |  137 |  - actually solving MILP
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   81 | Solving MILP ... OK! (0.084s)
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   84 | Generating outputs ...
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   86 | Generating outputs ... OK! (0.008s)
2023-06-29 15:48:46 | WARNING | __main__                     | <module>             |  267 | Optimal
2023-06-29 15:48:46 | INFO    | __main__                     | <module>             |  313 |  * Day 11 of 90 ... OK! (-0.152s) * 
2023-06-29 15:48:46 | INFO    | __main__                     | <module>             |  140 |  * Day 12 of 90 ... * 
2023-06-29 15:48:46 | INFO    | __main__                     | optimize             |   73 | Configuring data for MILP...
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  114 | Configuring BESS asset ...
2023-06-29 15:48:46 | DEBUG   | module.tasks.BESS            | configure            |  125 |  - parsing AC-side parameters
